stemming_content,label
coba meta usaha saing twitter microblogging app review singkat spesial mudah hubung instagram app,netral
overall bagus fitur terjemah twitter,negatif
sayang multi akun instagram,netral
bagus fitur twit,negatif
twtr suka bagus translate,netral
aplikasi pas upload photo mental,negatif
orang ulas threads android terima kasih instagram meta alternatif pilih bagus twitter limit,negatif
fiturnya sesimple nama,netral
fiturnya bilang minim tampil bagus ringan harap fitur tagar maksimal,negatif
elegan nyaman aplikasi enteng mudah paham,positif
terima kasih tolong batasin konten negatif biar kayak twitter threads komunitas positif salamrispek,positif
tolong mentraslite postingan akun,positif
mudah aplikasi,negatif
haloo erortapi notif muncul,positif
please pakai option not autoplay the video,negatif
hastag tagar berita viral threads,negatif
aman bug enak pakai tolong ada fitur translate min awam bahasa gua indonesia english,negatif
deh bagus cuman bagus support kirim file bantu banget illustrator pasarin gambar,negatif
lancar samsung galaxy chipset hio fitur rilis twitter update next bug post fiturnya,positif
discroll tampil patah,negatif
bug timpa,negatif
butuh situs web,negatif
aplikasi bagus tampil tarik unik aplikasi fitur tingkat aman stories edit tweet media suka tweet kasih rate aplikasi tahap rilis,negatif
aplikasi bug rusak aplikasi teks geser blok teks mohon,negatif
translatenya,netral
ain dark mode plis sakit mata help,negatif
broken for xiaomi redmi note,netral
lumayan save gambar simpan gambar mim meme dapa,negatif
ditambahin multi account kayak instagram pindah akun,negatif
ganti twitter lihat iya btw scroll asa smooth,positif
error xiaomi,negatif
bug aplikasi bug text numpuk timpa tolong moga cepat,negatif
pas buka appnya layarny error,negatif
tinggal kasih fitur simpan foto galeri mah,negatif
opsi trending,netral
bug android,netral
pas diinstal trsu buka aplikasi eror bayang getar goyang bug,negatif
trending,netral
bug kayak upload gambar force close ukur dikecilin saran fitur edit postingan,negatif
fitur aktivitas follow digabungin susah cari akun followback,negatif
ajib akun,netral
coba aplikasi bagus gampang pakai uinya simpel daftar pakai akun instagram ribet ditambahin fitur save gambar biar repot screeshot crop manual,negatif
bug threadnya ngeshadow,netral
aplikasi sempurna anti twitter matang rilis baharu hadir fitur dukung moga twitter bawa ciri khas ciplak aplikasi inspirasi twitter,negatif
bagus aplikasi deh twitter gampang sesuai fitur tambah akun threads ganti nama akun pisah instragram thanks,negatif
bingung kerja wkkw,positif
aplikasi force close tulis thread gambar mohon,negatif
fitur download video foto saing twitter standar komunitas post batas limit thread,negatif
tolong fitur chat kirim pesan please chat send message feature,positif
